index,var,beta_clock1,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
24,cg01698540,0.06197273,2,60110580,MIR4432HG,MIR4432,106660609,mapped to different gene in human and mouse,MIR4432HG_Intergenic_downstream,Distal Intergenic,11,24448173,Gm12067
25,cg01794235,0.047381114,14,29219197,PRKD1,LINC01551,5587,"mapped in human, not mapped in mouse",PRKD1_Intron,"Intron (ENST00000652140.1/ENST00000652140.1, intron 1 of 4)",12,49948188,Gm7481
26,cg01975510,0.054041463,11,67250350,KDM2A,KDM2A,22992,conserved gene and region in mouse and human,KDM2A_Exon,"Exon (ENST00000529006.7/22992, exon 17 of 21)",19,4324781,Kdm2a
27,cg02474352,0.05577934,5,78062859,AP3B1,AP3B1,8546,conserved gene and region in mouse and human,AP3B1_Intron,"Intron (ENST00000255194.10/8546, intron 22 of 26)",13,94511629,Ap3b1
28,cg02499612,-0.041029,9,126615424,LMX1B,LMX1B,4010,conserved gene and region in mouse and human,LMX1B_Exon,Promoter (<=1kb),2,33639633,Lmx1b
29,cg02532525,0.129828583,17,2050353,MIR212,MIR212,406994,mapped to different gene in human and mouse,MIR212_Exon,Promoter (<=1kb),11,75173399,Hic1
30,cg02606236,-0.020354116,X,31178668,DMD,DMD,1756,"mapped in human, not mapped in mouse",DMD_Exon,"Exon (ENST00000378723.7/1756, exon 9 of 17)",X,85144165,Dmd
31,cg02692845,-0.010986992,3,181712998,SOX2-OT,SOX2-OT,347689,mapped to different gene in human and mouse,SOX2-OT_Exon,"Exon (ENST00000325404.3/6657, exon 1 of 1)",3,34651059,Sox2
32,cg02734933,-0.050618726,16,73058998,ZFHX3,ZFHX3,463,conserved gene and region in mouse and human,ZFHX3_fiveUTR,Promoter (<=1kb),8,108703775,Zfhx3
33,cg02909927,-0.001149372,17,17784078,RAI1,RAI1,10743,conserved gene and region in mouse and human,RAI1_Intron,"Intron (ENST00000353383.6/10743, intron 2 of 5)",11,60177445,Rai1
34,cg02963786,-0.145537423,6,10395521,TFAP2A,TFAP2A-AS1,7020,"mapped in human, not mapped in mouse",TFAP2A_Intron,"Intron (ENST00000461628.5/7020, intron 2 of 2)",13,40714178,Tfap2a
35,cg03098892,-0.067706973,14,88322804,KCNK10,KCNK10,54207,conserved gene and region in mouse and human,KCNK10_fiveUTR,5' UTR,12,98574214,Kcnk10
36,cg03103192,0.033028519,4,52051105,SPATA18,SPATA18,132671,"mapped in human, not mapped in mouse",SPATA18_Promoter,Promoter (<=1kb),,,
37,cg03185524,0.083587533,18,37351229,CELF4,CELF4,56853,"mapped in human, not mapped in mouse",CELF4_Intron,"Intron (ENST00000420428.7/56853, intron 2 of 12)",,,
38,cg03320248,0.025943472,9,132099317,MED27,MED27,9442,conserved gene and region in mouse and human,MED27_Intergenic_upstream,Distal Intergenic,2,29320768,Med27
39,cg03370924,0.178694835,17,5481375,DERL2,DERL2,51009,conserved gene and region in mouse and human,DERL2_threeUTR,3' UTR,11,71014629,Derl2
40,cg03564272,0.093220736,1,10673616,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 4 of 20)",4,148920882,Casz1
41,cg03603997,-0.003361709,5,87944608,TMEM161B,TMEM161B,153396,conserved gene but different region in human and mouse,TMEM161B_Intron,"Intron (ENST00000668454.1/ENST00000668454.1, intron 2 of 3)",13,84571686,Gm26913
42,cg03605454,0.274512763,4,149885131,IQCM,DCLK2,285423,"mapped in human, not mapped in mouse",IQCM_Intron,"Intron (ENST00000508106.5/285423, intron 1 of 6)",,,
43,cg03668418,-0.142897356,15,36357037,C15orf41,C15orf41,84529,mapped to different gene in human and mouse,C15orf41_Intergenic_upstream,Distal Intergenic,2,115384878,BC052040
44,cg03820088,0.337643757,7,23522229,TRA2A,TRA2A,29896,conserved gene but different region in human and mouse,TRA2A_fiveUTR,5' UTR,6,49252905,Tra2a
45,cg03898602,-0.167582063,16,87603438,JPH3,JPH3,57338,mapped to different gene in human and mouse,JPH3_Exon,"Exon (ENST00000284262.3/57338, exon 1 of 5)",8,121730914,Galnt2l
46,cg03905052,0.037489046,1,97536915,DPYD,DPYD,1806,conserved gene and region in mouse and human,DPYD_Intron,"Intron (ENST00000370192.7/1806, intron 12 of 22)",3,118979167,Dpyd
47,cg03942000,0.08710688,9,128393488,MIR219A2,MIR219A2,407003,conserved gene but different region in human and mouse,MIR219A2_Exon,Promoter (<=1kb),2,29846471,Urm1
48,cg03962027,-0.063363854,8,105321706,ZFPM2,ZFPM2,23414,conserved gene and region in mouse and human,ZFPM2_Intron,"Intron (ENST00000518180.1/23414, intron 4 of 4)",15,40658283,Zfpm2
49,cg04025518,-0.167136372,16,30188053,CORO1A,CORO1A,11151,"mapped in human, not mapped in mouse",CORO1A_Exon,"Exon (ENST00000219150.9/11151, exon 8 of 11)",7,126700773,Coro1a
50,cg04051518,-0.13275703,7,92755491,CDK6,CDK6,1021,conserved gene and region in mouse and human,CDK6_Intron,"Intron (ENST00000265734.8/1021, intron 3 of 7)",,,
51,cg04097289,0.131097793,12,54161252,SMUG1,SMUG1,23583,"mapped in human, not mapped in mouse",SMUG1_Intron,"Intron (ENST00000634429.1/ENST00000634429.1, intron 4 of 5)",15,103135835,Smug1
52,cg04211240,0.106295746,15,89372943,MIR9-3HG,MIR9-3HG,254559,mapped to different gene in human and mouse,MIR9-3HG_Intron,"Intron (ENST00000536780.6/254559, intron 1 of 6)",7,79510107,Polg
53,cg04267101,-0.234464438,17,50541676,EPN3,EPN3,55040,"mapped in human, not mapped in mouse",EPN3_threeUTR,3' UTR,,,
54,cg04291050,0.033521914,2,174339424,SP9,SP9,100131390,"mapped in human, not mapped in mouse",SP9_Intergenic_downstream,Distal Intergenic,,,
55,cg04318752,-0.009291233,2,176078557,EVX2,EVX2,344191,"mapped in human, not mapped in mouse",EVX2_threeUTR,3' UTR,2,74654034,Evx2
56,cg04368876,0.30163763,10,96833840,LCOR,LCOR,84458,mapped to different gene in human and mouse,LCOR_Intron,"Intron (ENST00000371103.8/84458, intron 2 of 7)",19,41483958,Lcor
57,cg04706544,0.044175638,10,49396706,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32598755,Prrxl1
58,cg04998737,0.336274571,5,77645403,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869063,Otp
59,cg05191959,-0.964267062,19,42177335,POU2F2,DEDD2,5452,conserved gene but different region in human and mouse,POU2F2_Intron,"Intron (ENST00000532176.2/5452, intron 1 of 5)",7,25179896,Pou2f2
60,cg05322294,-0.12388945,2,144520585,ZEB2-AS1,ZEB2-AS1,100303491,mapped to different gene in human and mouse,ZEB2-AS1_fiveUTR,5' UTR,2,45113445,Zeb2
61,cg05401971,0.288727819,11,67250713,KDM2A,KDM2A,22992,"mapped in human, not mapped in mouse",KDM2A_Exon,"Exon (ENST00000529006.7/22992, exon 17 of 21)",19,4324421,Kdm2a
62,cg05475048,0.126731493,5,136274834,TRPC7,TRPC7,57113,conserved gene and region in mouse and human,TRPC7_Exon,"Exon (ENST00000513104.5/57113, exon 4 of 12)",13,56831447,Trpc7
63,cg05562063,0.056409006,18,56873931,WDR7,WDR7,23335,"mapped in human, not mapped in mouse",WDR7_Exon,"Exon (ENST00000586391.1/ENST00000586391.1, exon 1 of 2)",,,
64,cg05575054,0.095687169,10,114045209,ADRB1,ADRB1,153,conserved gene and region in mouse and human,ADRB1_Exon,"Exon (ENST00000369295.4/153, exon 1 of 1)",19,56723415,Adrb1
65,cg05601676,-0.014081943,10,99537299,NKX2-3,NKX2-3,159296,conserved gene and region in mouse and human,NKX2-3_Intergenic_downstream,Distal Intergenic,19,43616700,Nkx2-3
66,cg05844902,-0.081703634,3,143848183,SLC9A9,SLC9A9,285195,"mapped in human, not mapped in mouse",SLC9A9_Exon,Promoter (<=1kb),9,94670200,Slc9a9
67,cg06004718,-0.054016232,1,167398080,POU2F1,POU2F1,5451,"mapped in human, not mapped in mouse",POU2F1_threeUTR,3' UTR,1,165896489,Pou2f1
68,cg06098215,-0.040804439,10,46020119,NCOA4,PARG,8031,"mapped in human, not mapped in mouse",NCOA4_Intron,"Intron (ENST00000585132.5/8031, intron 1 of 9)",,,
69,cg06220792,0.017929448,9,100168552,INVS,INVS,27130,"mapped in human, not mapped in mouse",INVS_Intron,"Intron (ENST00000262457.7/27130, intron 3 of 16)",4,48335553,Invs
70,cg06283779,-0.097847143,16,55489739,MMP2,MMP2,4313,conserved gene and region in mouse and human,MMP2_Exon,"Exon (ENST00000570308.5/4313, exon 8 of 14)",8,92836994,Mmp2
71,cg06472065,-0.06032863,6,33426669,SYNGAP1,SYNGAP1,8831,conserved gene but different region in human and mouse,SYNGAP1_Exon,Promoter (<=1kb),17,26947403,Syngap1
72,cg06639082,-0.025852302,2,60557356,BCL11A,BCL11A,53335,conserved gene and region in mouse and human,BCL11A_Promoter,Promoter (2-3kb),11,24074334,A830031A19Rik
73,cg06679868,-0.013441018,4,157363026,GRIA2,GRIA2,2891,"mapped in human, not mapped in mouse",GRIA2_Exon,"Exon (ENST00000507898.5/2891, exon 15 of 16)",3,80689123,Gria2
74,cg06736685,-0.442681022,16,85555743,GSE1,GSE1,23199,mapped to different gene in human and mouse,GSE1_Intron,"Intron (ENST00000637419.1/23199, intron 2 of 2)",8,120488490,Gse1
75,cg06796779,-0.052124729,3,128486084,GATA2,GATA2,2624,"mapped in human, not mapped in mouse",GATA2_Exon,"Exon (ENST00000341105.6/2624, exon 3 of 6)",6,88200502,Gata2
76,cg07005811,-0.053978516,17,28912612,PHF12,PHF12,57649,"mapped in human, not mapped in mouse",PHF12_Exon,"Exon (ENST00000332830.9/57649, exon 9 of 15)",11,78023688,Phf12
77,cg07026794,-0.028648239,17,48615048,HOXB7,HOXB8,3217,mapped to different gene in human and mouse,HOXB7_fiveUTR,5' UTR,11,96282601,Hoxb8
78,cg07117595,-0.009407756,X,136209314,FHL1,FHL1,2273,"mapped in human, not mapped in mouse",FHL1_Exon,"Exon (ENST00000394155.8/2273, exon 7 of 8)",X,56791310,Fhl1
79,cg07323940,-0.005648684,7,14197482,DGKB,DGKB,1607,"mapped in human, not mapped in mouse",DGKB_Intron,"Intron (ENST00000399322.7/1607, intron 22 of 24)",12,38594209,Dgkb
80,cg07499079,0.077393584,18,57486199,ONECUT2,ONECUT2,9480,conserved gene and region in mouse and human,ONECUT2_threeUTR,3' UTR,18,64396092,Onecut2
81,cg07600647,0.019510384,17,1436749,CRK,CRK,1398,conserved gene and region in mouse and human,CRK_Exon,"Exon (ENST00000398970.5/1398, exon 2 of 3)",11,75692602,Crk
82,cg07867602,-0.000113915,7,114660309,FOXP2,FOXP2,93986,conserved gene and region in mouse and human,FOXP2_Intron,"Intron (ENST00000412402.5/93986, intron 16 of 19)",6,15412012,Foxp2
83,cg07875786,0.002606451,5,93583221,NR2F1,NR2F1,7025,mapped to different gene in human and mouse,NR2F1_fiveUTR,Promoter (<=1kb),13,78200391,Nr2f1
84,cg07903650,-0.068952498,18,57435872,ONECUT2,ONECUT2,9480,conserved gene and region in mouse and human,ONECUT2_Exon,Promoter (<=1kb),18,64340535,Onecut2
85,cg07938388,0.023188053,10,49396731,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32598730,Prrxl1
86,cg08074329,0.31370608,7,23470655,IGF2BP3,IGF2BP3,10643,conserved gene and region in mouse and human,IGF2BP3_Promoter,Promoter (<=1kb),6,49214967,Igf2bp3
87,cg08216101,0.070851007,1,23562470,ID3,ID3,3399,conserved gene and region in mouse and human,ID3_Promoter,Promoter (2-3kb),4,136140484,Id3
88,cg08343834,-0.045625754,17,15265341,PMP22,PMP22,5376,conserved gene and region in mouse and human,PMP22_Promoter,Promoter (<=1kb),11,63128966,Pmp22
89,cg08402623,0.022058899,20,13516396,TASP1,TASP1,55617,conserved gene and region in mouse and human,TASP1_Intron,"Intron (ENST00000480436.5/55617, intron 10 of 13)",2,139934796,Tasp1
90,cg08430237,-0.007938643,X,47171262,RBM10,RBM10,8241,conserved gene and region in mouse and human,RBM10_Intron,"Intron (ENST00000377604.8/8241, intron 4 of 23)",X,20637660,Rbm10
91,cg08446005,0.034781313,17,78359055,SOCS3,SOCS3,9021,"mapped in human, not mapped in mouse",SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968190,Socs3
92,cg08563010,-0.009484972,12,23921603,SOX5,SOX5,6660,conserved gene and region in mouse and human,SOX5_Intron,"Intron (ENST00000451604.7/6660, intron 1 of 14)",6,144181147,Sox5
93,cg08665685,0.013526449,22,31104411,SMTN,SMTN,6525,conserved gene and region in mouse and human,SMTN_threeUTR,3' UTR,11,3517731,Smtn
94,cg08676748,0.179769916,15,40925729,DLL4,DLL4,54567,"mapped in human, not mapped in mouse",DLL4_Promoter,Promoter (3-4kb),2,119322279,Dll4
95,cg08797870,0.007758876,17,3577641,TRPV1,TRPV1,7442,conserved gene but different region in human and mouse,TRPV1_threeUTR,3' UTR,11,73250824,Trpv1
96,cg08912313,-0.03524641,9,17502326,CNTLN,CNTLN,54875,conserved gene and region in mouse and human,CNTLN_Intron,"Intron (ENST00000380647.8/54875, intron 25 of 25)",4,85130193,Cntln
97,cg08918292,0.024598087,20,38715913,SLC32A1,SLC32A1,140679,mapped to different gene in human and mouse,SLC32A1_Promoter,Promoter (8-9kb),2,158602899,Slc32a1
98,cg08938156,0.84374916,3,147409417,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365746,Zic1
99,cg09025625,-0.029368018,1,154970033,SHC1,SHC1,6464,"mapped in human, not mapped in mouse",SHC1_Exon,Promoter (<=1kb),3,89422343,Shc1
100,cg09191327,-0.037793254,9,130664721,PRDM12,PRDM12,59335,"mapped in human, not mapped in mouse",PRDM12_Exon,Promoter (<=1kb),2,31640166,Prdm12
101,cg09227056,0.388273708,2,176075721,EVX2,EVX2,344191,conserved gene and region in mouse and human,EVX2_Intergenic_downstream,Distal Intergenic,2,74651253,Evx2
102,cg09313705,-0.06520474,17,48545129,HOXB-AS1,HOXB-AS1,100874362,"mapped in human, not mapped in mouse",HOXB-AS1_Exon,"Exon (ENST00000435312.5/100874362, exon 2 of 7)",11,96351584,Hoxb2
103,cg09360996,-0.437834135,1,213996654,PROX1,PROX1,5629,"mapped in human, not mapped in mouse",PROX1_Exon,"Exon (ENST00000471129.1/5629, exon 2 of 2)",,,
104,cg09461098,-0.107178386,16,24815270,TNRC6A,TNRC6A,27327,conserved gene but different region in human and mouse,TNRC6A_threeUTR,3' UTR,7,123186686,Tnrc6a
105,cg09497746,0.135841844,13,27969373,CDX2,CDX2,1045,conserved gene and region in mouse and human,CDX2_Promoter,Promoter (<=1kb),5,147307334,Cdx2
106,cg09568652,0.053133715,17,64505527,DDX5,DDX5,1655,conserved gene but different region in human and mouse,DDX5_Exon,Promoter (<=1kb),11,106787708,Ddx5
107,cg09576428,-0.003283005,1,154550324,UBE2Q1,UBE2Q1,55585,conserved gene and region in mouse and human,UBE2Q1_threeUTR,3' UTR,3,89782399,Ube2q1
108,cg09578613,-0.015897374,5,37060950,NIPBL,NIPBL,25836,"mapped in human, not mapped in mouse",NIPBL_Exon,"Exon (ENST00000282516.13/25836, exon 45 of 47)",15,8293151,Nipbl
109,cg09605634,0.00252451,13,35947401,DCLK1,DCLK1,9201,"mapped in human, not mapped in mouse",DCLK1_Exon,"Exon (ENST00000360631.7/9201, exon 4 of 17)",,,
110,cg09618893,-0.014382141,6,31888996,EHMT2,EHMT2,10919,"mapped in human, not mapped in mouse",EHMT2_Exon,"Exon (ENST00000480912.5/10919, exon 8 of 26)",17,34905683,Ehmt2
111,cg09622673,0.232329532,10,101452071,BTRC,BTRC,8945,"mapped in human, not mapped in mouse",BTRC_Intron,"Intron (ENST00000393441.8/8945, intron 2 of 13)",,,
112,cg09670972,0.038711369,2,30158652,YPEL5,YPEL5,51646,conserved gene and region in mouse and human,YPEL5_Exon,"Exon (ENST00000379519.7/51646, exon 4 of 4)",17,72848613,Ypel5
113,cg09681292,0.045923732,8,52327626,ST18,ST18,9705,conserved gene and region in mouse and human,ST18_Intron,"Intron (ENST00000276480.11/9705, intron 2 of 25)",1,6605148,St18
114,cg09710440,0.276573722,7,104328932,LHFPL3,LHFPL3,375612,"mapped in human, not mapped in mouse",LHFPL3_Exon,Promoter (<=1kb),,,
115,cg09750164,4.45303E-05,14,33800872,NPAS3,NPAS3,64067,"mapped in human, not mapped in mouse",NPAS3_Exon,"Exon (ENST00000551634.5/64067, exon 11 of 11)",12,54068837,Npas3
116,cg09807427,-0.057209803,13,107866400,FAM155A,FAM155A,728215,conserved gene and region in mouse and human,FAM155A_Exon,"Exon (ENST00000375915.4/728215, exon 1 of 3)",8,9770822,Fam155a
117,cg09973880,-0.034709016,15,61226775,RORA,RORA,6095,"mapped in human, not mapped in mouse",RORA_Intron,"Intron (ENST00000335670.11/6095, intron 1 of 10)",,,
118,cg10040493,0.076596883,5,77641298,OTP,OTP,23440,"mapped in human, not mapped in mouse",OTP_Promoter,Promoter (1-2kb),,,
119,cg10061379,-0.149762732,1,167222434,POU2F1,POU2F1,5451,conserved gene and region in mouse and human,POU2F1_Intron,"Intron (ENST00000559038.5/5451, intron 1 of 4)",1,166001177,Pou2f1
120,cg10125423,0.124808965,7,1239561,UNCX,UNCX,340260,conserved gene and region in mouse and human,UNCX_Intergenic_downstream,Distal Intergenic,5,139550633,Uncx
121,cg10160701,0.073138298,22,45535274,FBLN1,FBLN1,2192,conserved gene and region in mouse and human,FBLN1_Exon,"Exon (ENST00000402984.7/2192, exon 9 of 16)",15,85232613,Fbln1
122,cg10233638,-0.097268038,2,163733520,FIGN,FIGN,55137,conserved gene and region in mouse and human,FIGN_Intron,"Intron (ENST00000409634.5/55137, intron 2 of 2)",2,64095407,Fign
123,cg10402101,-0.047113417,18,55587100,TCF4,TCF4,6925,conserved gene but different region in human and mouse,TCF4_fiveUTR,5' UTR,18,69347314,Tcf4
124,cg10404717,0.016439831,9,128392683,MIR219B,MIR219A2,100616335,mapped to different gene in human and mouse,MIR219B_Exon,Promoter (<=1kb),2,29845696,Urm1
125,cg10439738,0.02922725,9,125542176,MAPKAP1,MAPKAP1,79109,conserved gene and region in mouse and human,MAPKAP1_Intron,"Intron (ENST00000373511.6/79109, intron 7 of 10)",2,34535014,Mapkap1
126,cg10466667,-0.062113024,12,53710077,CALCOCO1,CALCOCO1,57658,conserved gene but different region in human and mouse,CALCOCO1_threeUTR,3' UTR,15,102705885,Calcoco1
127,cg10480998,0.026992226,2,176146250,HOXD3,MIR10B,3232,"mapped in human, not mapped in mouse",HOXD3_Intron,"Intron (ENST00000432796.2/3232, intron 1 of 1)",,,
128,cg10501210,-0.392054908,1,207823675,MIR29B2CHG,LOC148696,100128537,"mapped in human, not mapped in mouse",MIR29B2CHG_Intron,"Intron (ENST00000608023.5/100128537, intron 2 of 4)",,,
129,cg10603790,0.030818855,4,108141597,LEF1,LEF1,51176,conserved gene but different region in human and mouse,LEF1_Intron,"Intron (ENST00000379951.6/51176, intron 3 of 9)",3,131137341,Lef1
130,cg10739250,0.015192998,11,30535950,MPPED2,MPPED2,744,conserved gene and region in mouse and human,MPPED2_Intron,"Intron (ENST00000448418.6/744, intron 3 of 6)",2,106744924,Mpped2
131,cg10975089,-0.06229758,9,81683503,TLE1,TLE1,7088,conserved gene and region in mouse and human,TLE1_Intron,"Intron (ENST00000376499.8/7088, intron 4 of 19)",4,72195773,Tle1
132,cg11084334,0.224047701,3,9552580,LHFPL4,LHFPL4,375323,"mapped in human, not mapped in mouse",LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113194124,Lhfpl4
133,cg11235379,0.058113099,2,161417813,TBR1,TBR1,10716,"mapped in human, not mapped in mouse",TBR1_Exon,"Exon (ENST00000389554.8/10716, exon 2 of 6)",2,61806111,Tbr1
134,cg11290280,-0.119734094,11,47289008,MADD,MADD,8567,"mapped in human, not mapped in mouse",MADD_Exon,"Exon (ENST00000311027.9/8567, exon 16 of 36)",2,91163981,Madd
135,cg11321459,-0.036231743,7,18495640,HDAC9,HDAC9,9734,conserved gene and region in mouse and human,HDAC9_Intron,"Intron (ENST00000417496.6/9734, intron 3 of 12)",12,34528987,Hdac9
136,cg11352386,0.025405259,10,124981719,ZRANB1,ZRANB1,54764,"mapped in human, not mapped in mouse",ZRANB1_Exon,"Exon (ENST00000359653.4/54764, exon 6 of 9)",7,132981291,Fgfr2
137,cg11405955,0.020506243,2,145669043,TEX41,PABPC1P2,401014,mapped to different gene in human and mouse,TEX41_Intron,"Intron (ENST00000651680.1/ENST00000651680.1, intron 1 of 1)",2,46341392,Gm13469
138,cg11407867,-0.12524961,17,28191075,NLK,NLK,51701,conserved gene and region in mouse and human,NLK_Exon,"Exon (ENST00000407008.8/51701, exon 9 of 11)",11,78572376,Nlk
139,cg11516694,-0.105323857,7,27147848,HOXA-AS3,HOXA-AS3,100133311,mapped to different gene in human and mouse,HOXA-AS3_Intron,"Intron (ENST00000518848.5/100133311, intron 1 of 2)",6,52208723,Hoxa6
140,cg11642756,-0.100344586,19,13022960,NFIX,NFIX,4784,conserved gene and region in mouse and human,NFIX_Intron,"Intron (ENST00000397661.6/4784, intron 1 of 9)",8,84774583,Nfix
141,cg11666770,0.064193026,19,41926758,LOC100505585,ARHGEF1,100505585,mapped to different gene in human and mouse,LOC100505585_Intron,"Intron (ENST00000599589.5/9138, intron 19 of 20)",7,24943195,Erfl
142,cg11690941,0.0002076,14,93474290,UNC79,UNC79,57578,conserved gene but different region in human and mouse,UNC79_fiveUTR,5' UTR,12,102998687,Unc79
143,cg11728741,0.928873588,8,41896469,ANK1,ANK1,286,conserved gene and region in mouse and human,ANK1_Exon,Promoter (<=1kb),8,22975146,Ank1
144,cg11904056,0.341790932,5,93583204,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Intron,"Intron (ENST00000659336.1/441094, intron 1 of 4)",13,78200408,Nr2f1
145,cg11948733,-0.093593414,16,30095371,YPEL3,BOLA2,83719,conserved gene and region in mouse and human,YPEL3_fiveUTR,Promoter (<=1kb),7,126777833,Ypel3
146,cg12156848,0.232543363,15,60677183,RORA,RORA,6095,conserved gene and region in mouse and human,RORA_Exon,"Exon (ENST00000551975.5/6095, exon 3 of 6)",9,69197556,Rora
147,cg12201500,-0.074764531,5,154811617,LARP1,LARP1,23367,"mapped in human, not mapped in mouse",LARP1_Exon,"Exon (ENST00000336314.9/23367, exon 18 of 19)",11,58057365,Larp1
148,cg12373771,0.160353416,22,17120491,TMEM121B,TMEM121B,27439,"mapped in human, not mapped in mouse",TMEM121B_Exon,Promoter (<=1kb),6,120493130,Tmem121b
149,cg12382554,-0.107814003,8,104869303,ZFPM2,LRP12,23414,mapped to different gene in human and mouse,ZFPM2_Intron,"Intron (ENST00000521923.5/ENST00000521923.5, intron 4 of 4)",15,40256401,9330182O14Rik
150,cg12449245,0.049296508,14,72619953,DPF3,DPF3,8110,conserved gene and region in mouse and human,DPF3_Exon,"Exon (ENST00000556509.5/8110, exon 10 of 11)",12,83216378,Dpf3
