index,var,beta_clock2,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
19,cg00694357,-0.226399969,1,155004171,ZBTB7B,ZBTB7B,51043,conserved gene but different region in human and mouse,ZBTB7B_Intron,"Intron (ENST00000417934.6/51043, intron 1 of 4)",3,89391821,Zbtb7b
20,cg00788877,-0.010860024,4,1598753,FAM53A,FAM53A,152877,conserved gene and region in mouse and human,FAM53A_Intergenic_downstream,Distal Intergenic,5,33564287,Fam53a
21,cg00864083,0.079041497,1,42205807,FOXJ3,FOXJ3,22887,conserved gene and region in mouse and human,FOXJ3_Exon,"Exon (ENST00000372572.5/22887, exon 8 of 15)",4,119610045,Foxj3
22,cg00871371,-0.10834653,17,77375394,SEPTIN9,SEPTIN9,10801,"mapped in human, not mapped in mouse",SEPTIN9_Exon,"Exon (ENST00000588701.1/ENST00000588701.1, exon 1 of 1)",,,
23,cg00929113,-0.019965063,11,31799549,PAX6,PAX6,5080,conserved gene and region in mouse and human,PAX6_Intron,"Intron (ENST00000606377.6/5080, intron 7 of 12)",2,105686951,Pax6
24,cg00975350,-0.084775867,14,35403912,NFKBIA,NFKBIA,4792,"mapped in human, not mapped in mouse",NFKBIA_fiveUTR,Promoter (<=1kb),12,55491906,Nfkbia
25,cg00984060,0.02648832,22,39685515,CACNA1I,CACNA1I,8911,"mapped in human, not mapped in mouse",CACNA1I_Intron,"Intron (ENST00000404898.5/8911, intron 35 of 35)",,,
26,cg01019040,-0.022070782,7,104328968,LHFPL3,LHFPL3,375612,conserved gene and region in mouse and human,LHFPL3_Exon,Promoter (<=1kb),5,22746369,Lhfpl3
27,cg01038105,-0.093778762,11,57794027,TMX2-CTNND1,TMX2-CTNND1,100528016,mapped to different gene in human and mouse,TMX2-CTNND1_fiveUTR,5' UTR,2,84622064,Ctnnd1
28,cg01061575,0.031510738,22,44702487,PRR5-ARHGAP8,PRR5-ARHGAP8,553158,mapped to different gene in human and mouse,PRR5-ARHGAP8_fiveUTR,Promoter (<=1kb),15,84681195,Prr5
29,cg01063757,-0.095529161,10,113119965,TCF7L2,TCF7L2,6934,conserved gene and region in mouse and human,TCF7L2_Intron,"Intron (ENST00000627217.3/6934, intron 5 of 13)",19,55888866,Tcf7l2
30,cg01090334,0.040065649,X,21516521,CNKSR2,CNKSR2,22866,conserved gene but different region in human and mouse,CNKSR2_threeUTR,3' UTR,X,157919855,Cnksr2
31,cg01137681,0.033200202,11,12764208,TEAD1,TEAD1,7003,conserved gene and region in mouse and human,TEAD1_fiveUTR,5' UTR,7,112759413,Tead1
32,cg01150494,0.262796867,12,119718845,CIT,CIT,11113,conserved gene but different region in human and mouse,CIT_Exon,"Exon (ENST00000261833.11/11113, exon 30 of 47)",5,115981665,Cit
33,cg01153166,0.009852162,15,96331473,NR2F2,NR2F2,7026,conserved gene but different region in human and mouse,NR2F2_fiveUTR,5' UTR,7,70360972,Nr2f2
34,cg01169686,-0.024840384,1,170564460,GORAB,GORAB,92344,"mapped in human, not mapped in mouse",GORAB_Intergenic_downstream,Distal Intergenic,1,163378086,Gorab
35,cg01224972,0.095609357,6,108280569,AFG1L,AFG1L,246269,conserved gene but different region in human and mouse,AFG1L_Intergenic_upstream,Distal Intergenic,10,42487106,Afg1l
36,cg01293647,-0.150593826,17,39608011,NEUROD2,NEUROD2,4761,conserved gene but different region in human and mouse,NEUROD2_Exon,Promoter (<=1kb),11,98329716,Neurod2
37,cg01301326,-0.004566517,X,40155180,BCOR,BCOR,54880,conserved gene but different region in human and mouse,BCOR_Intron,"Intron (ENST00000378455.8/54880, intron 1 of 13)",X,12136912,Bcor
38,cg01309159,-0.054916848,3,171066272,TNIK,TNIK,23043,"mapped in human, not mapped in mouse",TNIK_Exon,"Exon (ENST00000436636.7/23043, exon 32 of 33)",3,28666142,Tnik
39,cg01328716,-0.031191772,1,32938452,RNF19B,RNF19B,127544,"mapped in human, not mapped in mouse",RNF19B_Exon,"Exon (ENST00000373456.11/127544, exon 8 of 9)",4,129082822,Rnf19b
40,cg01337143,0.07480186,3,122926542,SEMA5B,SEMA5B,54437,conserved gene and region in mouse and human,SEMA5B_Exon,"Exon (ENST00000357599.8/54437, exon 9 of 23)",16,35647178,Sema5b
41,cg01409964,0.083311003,13,78998527,LINC00331,LINC00331,100874126,"mapped in human, not mapped in mouse",LINC00331_Intergenic_upstream,Distal Intergenic,14,104834630,Gm5671
42,cg01429475,0.119481691,10,101451718,BTRC,BTRC,8945,conserved gene but different region in human and mouse,BTRC_Intron,"Intron (ENST00000393441.8/8945, intron 2 of 13)",19,45446662,Btrc
43,cg01450059,-0.027134492,18,25140479,ZNF521,ZNF521,25925,conserved gene and region in mouse and human,ZNF521_Intron,"Intron (ENST00000361524.8/25925, intron 5 of 7)",18,13765184,Zfp521
44,cg01534197,0.002593792,1,7041502,CAMTA1,CAMTA1,23261,conserved gene and region in mouse and human,CAMTA1_Intron,"Intron (ENST00000303635.12/23261, intron 3 of 22)",4,151639970,Camta1
45,cg01550545,0.026014745,1,61447809,NFIA,NFIA,4774,conserved gene and region in mouse and human,NFIA_Intron,"Intron (ENST00000371191.5/4774, intron 10 of 10)",4,98103086,Nfia
46,cg01566077,-0.154666184,14,21500663,METTL3,METTL3,56339,conserved gene and region in mouse and human,METTL3_threeUTR,3' UTR,14,52297639,Mettl3
47,cg01571965,0.011414881,2,60460693,BCL11A,BCL11A,53335,conserved gene but different region in human and mouse,BCL11A_threeUTR,3' UTR,11,24164876,Bcl11a
48,cg01585174,-0.027592912,2,144774661,TEX41,TEX41,401014,mapped to different gene in human and mouse,TEX41_Intron,"Intron (ENST00000654442.1/401014, intron 4 of 8)",2,45359846,Gm13475
49,cg01594275,0.247994017,22,41160539,EP300,EP300,2033,conserved gene and region in mouse and human,EP300_Intron,"Intron (ENST00000263253.9/2033, intron 19 of 30)",15,81633901,Ep300
50,cg01631669,-0.058052296,19,31346540,TSHZ3,TSHZ3,57616,conserved gene and region in mouse and human,TSHZ3_Intron,"Intron (ENST00000651361.1/57616, intron 1 of 6)",7,36700821,Tshz3
51,cg01648756,0.064415481,4,150490965,LRBA,LRBA,987,conserved gene but different region in human and mouse,LRBA_threeUTR,3' UTR,3,86605939,Lrba
52,cg01712842,0.041565693,4,112523624,NEUROG2-AS1,NEUROG2,105377372,mapped to different gene in human and mouse,NEUROG2-AS1_Intron,"Intron (ENST00000504009.1/105377372, intron 1 of 3)",3,127625813,Neurog2
53,cg01782227,-0.102976592,14,36519573,NKX2-1-AS1,SFTA3,100506237,"mapped in human, not mapped in mouse",NKX2-1-AS1_fiveUTR,Promoter (<=1kb),12,56535278,Nkx2-1
54,cg01946200,0.048346894,12,49342274,DNAJC22,DNAJC22,79962,conserved gene and region in mouse and human,DNAJC22_Promoter,Promoter (4-5kb),15,99093770,Dnajc22
55,cg01975510,0.411008638,11,67250350,KDM2A,KDM2A,22992,conserved gene and region in mouse and human,KDM2A_Exon,"Exon (ENST00000529006.7/22992, exon 17 of 21)",19,4324781,Kdm2a
56,cg01998606,0.015427788,2,144403976,ZEB2,ZEB2,9839,"mapped in human, not mapped in mouse",ZEB2_fiveUTR,5' UTR,2,45001660,Zeb2
57,cg02034779,0.051431844,1,20482558,CAMK2N1,CAMK2N1,55450,"mapped in human, not mapped in mouse",CAMK2N1_threeUTR,3' UTR,,,
58,cg02040024,0.109016144,8,22691369,EGR3,EGR3,1960,"mapped in human, not mapped in mouse",EGR3_threeUTR,3' UTR,14,70079008,Egr3
59,cg02040823,-0.03142684,11,132692006,OPCML,OPCML,4978,conserved gene and region in mouse and human,OPCML_Intron,"Intron (ENST00000331898.11/4978, intron 1 of 6)",9,28644236,Opcml
60,cg02177464,0.192402722,2,159453749,BAZ2B,BAZ2B,29994,"mapped in human, not mapped in mouse",BAZ2B_Exon,"Exon (ENST00000392783.7/29994, exon 4 of 37)",2,59983918,Baz2b
61,cg02184281,-0.085773654,18,48921427,SMAD7,SMAD7,4092,conserved gene and region in mouse and human,SMAD7_Exon,"Exon (ENST00000262158.7/4092, exon 4 of 4)",18,75394309,Smad7
62,cg02273345,-0.05115149,8,112408371,CSMD3,CSMD3,114788,conserved gene and region in mouse and human,CSMD3_Exon,"Exon (ENST00000343508.7/114788, exon 35 of 72)",15,47755439,Csmd3
63,cg02284095,0.067307142,6,36600231,SRSF3,SRSF3,6428,conserved gene and region in mouse and human,SRSF3_threeUTR,3' UTR,17,29039864,Srsf3
64,cg02287493,0.036755419,X,21374917,CNKSR2,CNKSR2,22866,conserved gene and region in mouse and human,CNKSR2_Exon,"Exon (ENST00000642359.1/22866, exon 1 of 21)",X,158042820,Cnksr2
65,cg02360445,-0.007329344,10,21509328,MIR1915HG,MIR1915HG,399726,mapped to different gene in human and mouse,MIR1915HG_Intergenic_upstream,Distal Intergenic,2,18040283,A930004D18Rik
66,cg02376954,-0.168298169,19,1425897,DAZAP1,DAZAP1,26528,conserved gene and region in mouse and human,DAZAP1_Exon,"Exon (ENST00000336761.10/26528, exon 7 of 13)",10,80280948,Dazap1
67,cg02456804,0.151081425,1,166070621,FAM78B,FAM78B,149297,conserved gene and region in mouse and human,FAM78B_Exon,"Exon (ENST00000435676.2/149297, exon 2 of 3)",1,167078678,Fam78b
68,cg02532525,0.149617321,17,2050353,MIR212,MIR212,406994,mapped to different gene in human and mouse,MIR212_Exon,Promoter (<=1kb),11,75173399,Hic1
69,cg02551294,0.023974005,1,62999399,LINC01739,ATG4C,105378769,mapped to different gene in human and mouse,LINC01739_Intron,"Intron (ENST00000641890.1/105378769, intron 1 of 1)",4,99374942,Gm12685
70,cg02629039,-0.007261266,2,113244617,PAX8-AS1,PAX8,654433,mapped to different gene in human and mouse,PAX8-AS1_Exon,"Exon (ENST00000263335.11/7849, exon 4 of 10)",2,24443130,Pax8
71,cg02692845,-0.114387436,3,181712998,SOX2-OT,SOX2-OT,347689,mapped to different gene in human and mouse,SOX2-OT_Exon,"Exon (ENST00000325404.3/6657, exon 1 of 1)",3,34651059,Sox2
72,cg02783173,0.045964123,4,112521614,NEUROG2-AS1,NEUROG2,105377372,"mapped in human, not mapped in mouse",NEUROG2-AS1_Intron,"Intron (ENST00000504009.1/105377372, intron 1 of 3)",3,127627577,Neurog2
73,cg02800363,-0.170767165,1,27561568,AHDC1,AHDC1,27245,"mapped in human, not mapped in mouse",AHDC1_Intron,"Intron (ENST00000247087.10/27245, intron 1 of 5)",4,133052252,Ahdc1
74,cg02864622,0.029391622,14,91983784,TRIP11,TRIP11,9321,"mapped in human, not mapped in mouse",TRIP11_Intron,"Intron (ENST00000267622.8/9321, intron 16 of 20)",12,101858742,Trip11
75,cg02909927,-0.026285595,17,17784078,RAI1,RAI1,10743,conserved gene and region in mouse and human,RAI1_Intron,"Intron (ENST00000353383.6/10743, intron 2 of 5)",11,60177445,Rai1
76,cg02946452,0.027377597,11,21534465,NELL1,NELL1,4745,"mapped in human, not mapped in mouse",NELL1_Exon,"Exon (ENST00000325319.9/4745, exon 15 of 19)",7,50826351,Nell1
77,cg02953590,0.049758795,4,140153008,MAML3,MAML3,55534,conserved gene and region in mouse and human,MAML3_Exon,"Exon (ENST00000509479.6/55534, exon 1 of 5)",3,52103827,Maml3
78,cg02963786,-0.085778172,6,10395521,TFAP2A,TFAP2A-AS1,7020,"mapped in human, not mapped in mouse",TFAP2A_Intron,"Intron (ENST00000461628.5/7020, intron 2 of 2)",13,40714178,Tfap2a
79,cg02968236,-0.019829188,11,78786107,TENM4,TENM4,26011,conserved gene but different region in human and mouse,TENM4_Intron,"Intron (ENST00000278550.12/26011, intron 16 of 33)",7,96798193,Tenm4
80,cg03127034,2.64E-05,6,41593569,FOXP4,FOXP4,116113,conserved gene and region in mouse and human,FOXP4_Intron,"Intron (ENST00000373060.5/116113, intron 13 of 16)",17,47872605,Foxp4
81,cg03163184,0.027326053,12,16610213,LMO3,LMO3,55885,conserved gene but different region in human and mouse,LMO3_Promoter,Promoter (<=1kb),6,138426780,Lmo3
82,cg03190580,-0.034310363,12,113471913,LHX5,LHX5,64211,conserved gene but different region in human and mouse,LHX5_Exon,Promoter (<=1kb),5,120431854,Lhx5
83,cg03222030,-0.007134081,X,71547046,OGT,BCYRN1,8473,conserved gene but different region in human and mouse,OGT_Exon,"Exon (ENST00000488174.5/8473, exon 4 of 20)",X,101654676,Ogt
84,cg03225697,-0.070415212,5,139847724,NRG2,NRG2,9542,conserved gene and region in mouse and human,NRG2_threeUTR,3' UTR,18,36017728,Nrg2
85,cg03247467,-0.007630757,16,52351779,CASC22,TOX3,283854,"mapped in human, not mapped in mouse",CASC22_Intergenic_downstream,Distal Intergenic,,,
86,cg03320248,0.001015294,9,132099317,MED27,MED27,9442,conserved gene and region in mouse and human,MED27_Intergenic_upstream,Distal Intergenic,2,29320768,Med27
87,cg03387624,-0.020938909,18,47251694,SKOR2,SKOR2,652991,conserved gene and region in mouse and human,SKOR2_Promoter,Promoter (<=1kb),18,76856104,Skor2
88,cg03420509,-0.073838114,1,50570234,FAF1,FAF1,11124,conserved gene and region in mouse and human,FAF1_Intron,"Intron (ENST00000396153.7/11124, intron 12 of 18)",4,109859085,Faf1
89,cg03521797,-0.211323543,1,33368611,PHC2,PHC2,1912,"mapped in human, not mapped in mouse",PHC2_Exon,"Exon (ENST00000257118.5/1912, exon 5 of 14)",,,
90,cg03588035,-0.116801899,2,73081656,RAB11FIP5,RAB11FIP5,26056,"mapped in human, not mapped in mouse",RAB11FIP5_Exon,"Exon (ENST00000486777.6/26056, exon 4 of 6)",,,
91,cg03600207,-0.072475922,3,147395953,LOC440982,ZIC4,440982,"mapped in human, not mapped in mouse",LOC440982_Exon,"Exon (ENST00000383075.7/84107, exon 3 of 5)",9,91379300,Zic4
92,cg03668418,-0.002172889,15,36357037,C15orf41,C15orf41,84529,mapped to different gene in human and mouse,C15orf41_Intergenic_upstream,Distal Intergenic,2,115384878,BC052040
93,cg03679521,0.401910668,17,39607900,NEUROD2,NEUROD2,4761,conserved gene and region in mouse and human,NEUROD2_fiveUTR,Promoter (<=1kb),11,98329605,Neurod2
94,cg03683773,-0.021062056,5,78129253,AP3B1,AP3B1,8546,conserved gene and region in mouse and human,AP3B1_Exon,"Exon (ENST00000255194.10/8546, exon 16 of 27)",13,94471729,Ap3b1
95,cg03820088,0.013663094,7,23522229,TRA2A,TRA2A,29896,conserved gene but different region in human and mouse,TRA2A_fiveUTR,5' UTR,6,49252905,Tra2a
96,cg03898602,-0.048943351,16,87603438,JPH3,JPH3,57338,mapped to different gene in human and mouse,JPH3_Exon,"Exon (ENST00000284262.3/57338, exon 1 of 5)",8,121730914,Galnt2l
97,cg03905052,0.01877552,1,97536915,DPYD,DPYD,1806,conserved gene and region in mouse and human,DPYD_Intron,"Intron (ENST00000370192.7/1806, intron 12 of 22)",3,118979167,Dpyd
98,cg03909491,0.033113247,16,51245157,SALL1,SALL1,6299,conserved gene but different region in human and mouse,SALL1_Intron,"Intron (ENST00000642450.1/ENST00000642450.1, intron 2 of 3)",8,89153120,Gm6625
99,cg03917360,0.037601777,16,54543200,LINC02140,IRX3,100996345,mapped to different gene in human and mouse,LINC02140_Exon,"Exon (ENST00000637822.1/ENST00000637822.1, exon 6 of 6)",8,92026859,Irx3
100,cg03942000,0.110069983,9,128393488,MIR219A2,MIR219A2,407003,conserved gene but different region in human and mouse,MIR219A2_Exon,Promoter (<=1kb),2,29846471,Urm1
101,cg03957108,7.10E-05,2,63049410,OTX1,OTX1,5013,conserved gene and region in mouse and human,OTX1_Promoter,Promoter (<=1kb),11,22003031,Otx1
102,cg04025518,-0.042933617,16,30188053,CORO1A,CORO1A,11151,"mapped in human, not mapped in mouse",CORO1A_Exon,"Exon (ENST00000219150.9/11151, exon 8 of 11)",7,126700773,Coro1a
103,cg04087693,0.066535753,6,50718303,TFAP2D,TFAP2D,83741,"mapped in human, not mapped in mouse",TFAP2D_Intron,"Intron (ENST00000008391.3/83741, intron 2 of 7)",1,19107490,Tfap2d
104,cg04103301,-0.017828848,X,71547703,OGT,BCYRN1,8473,conserved gene and region in mouse and human,OGT_Exon,"Exon (ENST00000488174.5/8473, exon 4 of 20)",X,101655421,Ogt
105,cg04111974,-0.026401162,9,126429465,MVB12B,MVB12B,89853,conserved gene and region in mouse and human,MVB12B_Intron,"Intron (ENST00000361171.8/89853, intron 7 of 9)",2,33796263,Mvb12b
106,cg04204168,-0.049448309,12,14257734,ATF7IP,ATF7IP,55729,"mapped in human, not mapped in mouse",ATF7IP_Intergenic_upstream,Distal Intergenic,,,
107,cg04267101,-0.029512229,17,50541676,EPN3,EPN3,55040,"mapped in human, not mapped in mouse",EPN3_threeUTR,3' UTR,,,
108,cg04353319,0.053408585,17,2400859,MNT,MNT,4335,conserved gene and region in mouse and human,MNT_fiveUTR,Promoter (<=1kb),11,74831181,Mnt
109,cg04366185,0.022592427,12,53839038,CISTR,HOXC13,102216268,mapped to different gene in human and mouse,CISTR_Intron,"Intron (ENST00000663306.1/ENST00000663306.1, intron 1 of 4)",15,102833180,Gm49473
110,cg04368876,0.024900264,10,96833840,LCOR,LCOR,84458,mapped to different gene in human and mouse,LCOR_Intron,"Intron (ENST00000371103.8/84458, intron 2 of 7)",19,41483958,Lcor
111,cg04373810,-0.000961809,5,124747495,ZNF608,ZNF608,57507,conserved gene but different region in human and mouse,ZNF608_Intron,"Intron (ENST00000509799.5/57507, intron 1 of 4)",18,54991222,Zfp608
112,cg04414148,-0.027833877,17,48614620,HOXB7,HOXB8,3217,mapped to different gene in human and mouse,HOXB7_Exon,"Exon (ENST00000239144.5/3218, exon 1 of 2)",11,96283046,Hoxb8
113,cg04539386,-0.110715895,17,63589000,DCAF7,DCAF7,10238,"mapped in human, not mapped in mouse",DCAF7_Exon,"Exon (ENST00000614556.5/10238, exon 7 of 7)",11,106054683,Dcaf7
114,cg04584281,-0.009269542,1,50197459,ELAVL4,ELAVL4,1996,conserved gene and region in mouse and human,ELAVL4_Exon,"Exon (ENST00000448907.7/1996, exon 6 of 7)",4,110209747,Elavl4
115,cg04680480,0.122538377,8,143429571,MAFA,MAFA,389692,conserved gene and region in mouse and human,MAFA_Exon,"Exon (ENST00000528185.1/ENST00000528185.1, exon 1 of 2)",15,75747069,Mafa
116,cg04706544,0.048970692,10,49396706,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32598755,Prrxl1
117,cg04707251,-0.15734952,2,38581978,HNRNPLL,HNRNPLL,92906,conserved gene and region in mouse and human,HNRNPLL_Exon,"Exon (ENST00000449105.8/92906, exon 6 of 13)",17,80048673,Hnrnpll
118,cg04725401,0.144229417,11,65344604,DPF2,DPF2,5977,conserved gene and region in mouse and human,DPF2_Exon,"Exon (ENST00000530993.5/5977, exon 6 of 7)",19,5903747,Dpf2
119,cg04787747,0.1704938,21,33576435,DONSON,DONSON,29980,mapped to different gene in human and mouse,DONSON_threeUTR,3' UTR,16,91678171,Donson
120,cg04817453,0.055106825,16,73053847,ZFHX3,ZFHX3,463,"mapped in human, not mapped in mouse",ZFHX3_Intron,"Intron (ENST00000397992.5/463, intron 1 of 8)",,,
121,cg04847707,-0.063028003,8,60822702,CHD7,CHD7,55636,conserved gene and region in mouse and human,CHD7_Exon,"Exon (ENST00000423902.7/55636, exon 12 of 38)",4,8827083,Chd7
122,cg04889095,0.116838767,12,8773554,RIMKLB,RIMKLB,57494,conserved gene and region in mouse and human,RIMKLB_Exon,"Exon (ENST00000357529.7/57494, exon 7 of 7)",6,122456429,Rimklb
123,cg04913399,-0.001623059,3,53497337,CACNA1D,CACNA1D,776,conserved gene and region in mouse and human,CACNA1D_Exon,"Exon (ENST00000637424.1/776, exon 2 of 47)",14,30350763,Cacna1d
124,cg04958293,-0.002086394,X,41520354,CASK,CASK,8573,conserved gene and region in mouse and human,CASK_threeUTR,3' UTR,X,13522101,Cask
125,cg04996684,0.001550941,1,197675972,DENND1B,DENND1B,163486,"mapped in human, not mapped in mouse",DENND1B_Intron,"Intron (ENST00000620048.6/163486, intron 3 of 22)",1,139038361,Dennd1b
126,cg04998737,0.487512428,5,77645403,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869063,Otp
127,cg05008190,-0.220085399,17,2401760,MNT,MNT,4335,conserved gene and region in mouse and human,MNT_Promoter,Promoter (<=1kb),11,74830320,Mnt
128,cg05033071,-0.027820003,1,41362275,FOXO6,SCMH1,100132074,conserved gene and region in mouse and human,FOXO6_Exon,Promoter (<=1kb),4,120286907,Foxo6
129,cg05035366,-0.024783411,5,168126846,TENM2,TENM2,57451,conserved gene and region in mouse and human,TENM2_Exon,"Exon (ENST00000518659.5/57451, exon 12 of 29)",11,36139668,Tenm2
130,cg05039938,-0.139131933,12,26278064,SSPN,SSPN,8082,conserved gene but different region in human and mouse,SSPN_Intron,"Intron (ENST00000534829.5/ENST00000534829.5, intron 2 of 3)",6,146001860,Sspn
131,cg05136138,-0.004057652,14,79853592,NRXN3,NRXN3,9369,conserved gene and region in mouse and human,NRXN3_Exon,"Exon (ENST00000554738.5/9369, exon 19 of 20)",12,90321989,Nrxn3
132,cg05172686,-0.001596476,22,29729506,CABP7,CABP7,164633,conserved gene and region in mouse and human,CABP7_Exon,"Exon (ENST00000216144.4/164633, exon 5 of 5)",11,4738883,Cabp7
133,cg05196683,0.022048697,19,35719524,KMT2B,KMT2B,9757,conserved gene and region in mouse and human,KMT2B_Exon,"Exon (ENST00000420124.2/9757, exon 2 of 37)",7,30587271,Kmt2b
134,cg05243338,-0.111901872,2,199380434,SATB2,SATB2,23314,"mapped in human, not mapped in mouse",SATB2_Exon,"Exon (ENST00000417098.6/23314, exon 5 of 11)",1,56898016,Satb2
135,cg05261703,-0.129021442,3,9434050,SETD5,SETD5,55209,conserved gene but different region in human and mouse,SETD5_threeUTR,3' UTR,6,113110090,Setd5
136,cg05292023,-0.004253109,13,27822774,PLUT,GSX1,100861550,mapped to different gene in human and mouse,PLUT_Exon,"Exon (ENST00000499662.3/100861550, exon 4 of 5)",5,147223601,Gsx1
137,cg05330587,-0.134189874,6,50715397,TFAP2D,TFAP2D,83741,"mapped in human, not mapped in mouse",TFAP2D_Exon,"Exon (ENST00000008391.3/83741, exon 2 of 8)",1,19104645,Tfap2d
138,cg05332360,0.015314069,14,33567287,NPAS3,NPAS3,64067,"mapped in human, not mapped in mouse",NPAS3_Intron,"Intron (ENST00000551634.5/64067, intron 4 of 10)",12,53838492,Npas3
139,cg05359706,0.050629195,2,178331552,OSBPL6,OSBPL6,114880,"mapped in human, not mapped in mouse",OSBPL6_Exon,"Exon (ENST00000392505.6/114880, exon 6 of 26)",2,76548319,Osbpl6
140,cg05401971,0.51729423,11,67250713,KDM2A,KDM2A,22992,"mapped in human, not mapped in mouse",KDM2A_Exon,"Exon (ENST00000529006.7/22992, exon 17 of 21)",19,4324421,Kdm2a
141,cg05456580,0.024586053,14,31135533,HECTD1,HECTD1,25831,"mapped in human, not mapped in mouse",HECTD1_Exon,"Exon (ENST00000399332.6/25831, exon 21 of 43)",12,51774708,Hectd1
142,cg05474883,0.95219804,4,82354926,HNRNPD,HNRNPD,3184,conserved gene and region in mouse and human,HNRNPD_threeUTR,3' UTR,5,99962129,Hnrnpd
143,cg05524242,-0.00399539,19,19654063,ATP13A1,ATP13A1,57130,conserved gene but different region in human and mouse,ATP13A1_Exon,"Exon (ENST00000357324.11/57130, exon 14 of 26)",8,69799842,Atp13a1
144,cg05535461,0.005687636,2,172072476,METAP1D,METAP1D,254042,conserved gene and region in mouse and human,METAP1D_Intron,"Intron (ENST00000315796.5/254042, intron 6 of 9)",2,71517174,Metap1d
145,cg05537515,-0.034620192,12,57529196,MBD6,MBD6,114785,conserved gene but different region in human and mouse,MBD6_Exon,"Exon (ENST00000355673.8/114785, exon 13 of 13)",10,127282870,Mbd6
146,cg05551621,0.310352634,1,63323562,FOXD3-AS1,FOXD3,100996301,"mapped in human, not mapped in mouse",FOXD3-AS1_Exon,Promoter (<=1kb),,,
147,cg05575054,0.065671064,10,114045209,ADRB1,ADRB1,153,conserved gene and region in mouse and human,ADRB1_Exon,"Exon (ENST00000369295.4/153, exon 1 of 1)",19,56723415,Adrb1
