index,var,beta_clock3,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
28,cg14297772,-0.212410327,2,118847634,EN1,EN1,2019,"mapped in human, not mapped in mouse",EN1_fiveUTR,Promoter (<=1kb),1,120602530,En1
29,cg11857072,-0.336689496,17,40093075,THRA,THRA,7067,mapped to different gene in human and mouse,THRA_threeUTR,3' UTR,11,98768212,Nr1d1
30,cg12501063,-0.229105127,17,63412706,TANC2,TANC2,26115,conserved gene and region in mouse and human,TANC2_Exon,"Exon (ENST00000389520.8/26115, exon 22 of 26)",11,105914067,Tanc2
31,cg14136214,-0.031930305,9,121783622,DAB2IP,DAB2IP,153090,"mapped in human, not mapped in mouse",DAB2IP_threeUTR,3' UTR,2,35729197,Dab2ip
32,cg18168101,-0.129017152,8,103141399,BAALC-AS2,BAALC,157556,"mapped in human, not mapped in mouse",BAALC-AS2_Promoter,Promoter (<=1kb),,,
33,cg15330117,-0.080674221,10,8054706,GATA3,GATA3,2625,conserved gene and region in mouse and human,GATA3_fiveUTR,5' UTR,2,9878571,Gata3
34,cg18418719,1.806027578,3,70972083,FOXP1,FOXP1,27086,mapped to different gene in human and mouse,FOXP1_threeUTR,3' UTR,6,98941067,Foxp1
35,cg26845448,0.306361532,5,114362796,KCNN2,KCNN2,3781,conserved gene but different region in human and mouse,KCNN2_fiveUTR,5' UTR,18,45560174,Gm31907
36,cg09474015,-0.480858001,7,27165104,HOXA10-HOXA9,HOXA10-HOXA9,100534589,"mapped in human, not mapped in mouse",HOXA10-HOXA9_Exon,"Exon (ENST00000343483.7/3205, exon 1 of 2)",6,52225754,Hoxa9
37,cg07727941,-0.089030437,1,166166176,FAM78B,FAM78B,149297,conserved gene and region in mouse and human,FAM78B_Exon,Promoter (<=1kb),1,167001637,Fam78b
38,cg07991826,0.585346756,1,155268734,CLK2,CLK2,1196,mapped to different gene in human and mouse,CLK2_Exon,"Exon (ENST00000361168.9/1196, exon 4 of 13)",3,89169627,Clk2
39,cg08510667,0.031267603,17,78359068,SOCS3,SOCS3,9021,conserved gene and region in mouse and human,SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968203,Socs3
40,cg09606114,-0.129866284,17,2085784,SMG6,SMG6,23293,conserved gene but different region in human and mouse,SMG6_Exon,"Exon (ENST00000263073.11/23293, exon 14 of 19)",11,75139309,Smg6
41,cg21102477,-0.073397784,1,34165243,CSMD2,CSMD2,114784,conserved gene but different region in human and mouse,CSMD2_fiveUTR,Promoter (<=1kb),4,127987887,Csmd2
42,cg20023049,0.169354121,12,7142946,CLSTN3,CLSTN3,9746,conserved gene and region in mouse and human,CLSTN3_Exon,"Exon (ENST00000266546.11/9746, exon 11 of 18)",6,124449853,Clstn3
43,cg20804050,-1.321369915,2,118847865,EN1,EN1,2019,conserved gene and region in mouse and human,EN1_Promoter,Promoter (<=1kb),1,120602314,En1
44,cg25383995,-0.01341132,19,1253999,MIDN,MIDN,90007,conserved gene and region in mouse and human,MIDN_Exon,"Exon (ENST00000586843.2/90007, exon 3 of 4)",10,80153636,Midn
45,cg16717607,-0.046869846,1,33368598,PHC2,PHC2,1912,"mapped in human, not mapped in mouse",PHC2_Exon,"Exon (ENST00000257118.5/1912, exon 5 of 14)",4,128711081,Phc2
46,cg22454769,0.000639658,2,105399310,FHL2,FHL2,2274,"mapped in human, not mapped in mouse",FHL2_fiveUTR,Promoter (<=1kb),,,
47,cg26148010,0.034281503,14,97946851,LINC01550,LINC01550,388011,mapped to different gene in human and mouse,LINC01550_Intron,"Intron (ENST00000499006.7/388011, intron 2 of 2)",12,106929362,Gm9599
48,cg25066947,-0.023362729,6,108157712,OSTM1-AS1,NR2E1,100287366,mapped to different gene in human and mouse,OSTM1-AS1_Exon,"Exon (ENST00000658282.1/100287366, exon 2 of 2)",10,42591939,Ostm1
49,cg01019040,-0.001225076,7,104328968,LHFPL3,LHFPL3,375612,conserved gene and region in mouse and human,LHFPL3_Exon,Promoter (<=1kb),5,22746369,Lhfpl3
50,cg25467897,-0.25262615,X,71153510,NLGN3,NLGN3,54413,conserved gene and region in mouse and human,NLGN3_Exon,"Exon (ENST00000612180.4/54413, exon 3 of 8)",X,101307108,Nlgn3
51,cg01998606,0.208019228,2,144403976,ZEB2,ZEB2,9839,"mapped in human, not mapped in mouse",ZEB2_fiveUTR,5' UTR,2,45001660,Zeb2
52,cg02828846,0.097898009,2,162421588,KCNH7,KCNH7,90134,conserved gene and region in mouse and human,KCNH7_Intron,"Intron (ENST00000618399.4/90134, intron 8 of 14)",2,62762849,Kcnh7
53,cg14172937,-0.07573239,20,46029210,SLC12A5,SLC12A5,57468,conserved gene and region in mouse and human,SLC12A5_fiveUTR,5' UTR,2,164968267,Slc12a5
54,cg22338839,-0.546324871,13,107866521,FAM155A,FAM155A,728215,conserved gene and region in mouse and human,FAM155A_Exon,Promoter (<=1kb),8,9770943,Fam155a
55,cg22844979,-0.025418919,13,83878293,SLITRK1,SLITRK1,114798,conserved gene and region in mouse and human,SLITRK1_threeUTR,3' UTR,14,108910040,Slitrk1
56,cg08681110,0.172314244,6,113857322,MARCKS,MARCKS,4082,conserved gene and region in mouse and human,MARCKS_Promoter,Promoter (<=1kb),10,37138948,Marcks
57,cg09362546,-0.162794225,12,53973240,HOTAIR,HOTAIR,100124700,"mapped in human, not mapped in mouse",HOTAIR_fiveUTR,5' UTR,15,102954524,Hoxc11
58,cg12325485,-0.177777194,X,40146141,BCOR,BCOR,54880,"mapped in human, not mapped in mouse",BCOR_Intron,"Intron (ENST00000378455.8/54880, intron 1 of 13)",X,12127920,Bcor
59,cg15229894,-0.014541432,12,54033435,HOXC4,HOXC4,3221,"mapped in human, not mapped in mouse",HOXC4_Exon,"Exon (ENST00000312492.2/3222, exon 1 of 2)",15,103014394,Hoxc5
60,cg07423797,0.102672185,22,43262719,SCUBE1,SCUBE1,80274,conserved gene and region in mouse and human,SCUBE1_Exon,"Exon (ENST00000360835.9/80274, exon 5 of 22)",15,83659025,Scube1
61,cg18060631,-0.274194105,2,42051539,PKDCC,PKDCC,91461,conserved gene and region in mouse and human,PKDCC_Intron,"Intron (ENST00000294964.6/91461, intron 1 of 6)",17,83218655,Pkdcc
62,cg02499612,-0.123567785,9,126615424,LMX1B,LMX1B,4010,conserved gene and region in mouse and human,LMX1B_Exon,Promoter (<=1kb),2,33639633,Lmx1b
63,cg14865782,-0.147606142,6,50715409,TFAP2D,TFAP2D,83741,"mapped in human, not mapped in mouse",TFAP2D_Exon,"Exon (ENST00000008391.3/83741, exon 2 of 8)",1,19104657,Tfap2d
64,cg20212950,-0.469851341,6,163566741,QKI,QKI,9444,conserved gene and region in mouse and human,QKI_threeUTR,3' UTR,17,10213412,Qk
65,cg04847707,-0.067071704,8,60822702,CHD7,CHD7,55636,conserved gene and region in mouse and human,CHD7_Exon,"Exon (ENST00000423902.7/55636, exon 12 of 38)",4,8827083,Chd7
66,cg16867657,0.09370173,6,11044644,ELOVL2-AS1,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,
67,cg17266282,0.05051112,6,111973329,LINC02527,CCN6,105377946,"mapped in human, not mapped in mouse",LINC02527_Intergenic_upstream,Distal Intergenic,,,
68,cg18468088,0.041370545,6,35523041,TULP1,TULP1,7287,"mapped in human, not mapped in mouse",TULP1_Intergenic_upstream,Distal Intergenic,,,
69,cg26781330,0.109453558,12,53600991,ATF7,ATF7,11016,"mapped in human, not mapped in mouse",ATF7_fiveUTR,5' UTR,15,102593710,Atf7
70,cg04186556,-0.242846899,3,169121172,MECOM,MECOM,2122,conserved gene but different region in human and mouse,MECOM_Exon,"Exon (ENST00000264674.7/2122, exon 7 of 17)",3,29985457,Mecom
71,cg05911522,-0.016089608,3,147406611,LOC440982,ZIC4,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91368978,Zic4
72,cg17201550,0.163603368,10,77637409,KCNMA1,KCNMA1,3778,"mapped in human, not mapped in mouse",KCNMA1_Exon,Promoter (<=1kb),14,24003892,Kcnma1
73,cg18573296,0.112850107,10,75693591,LRMDA,LRMDA,83938,conserved gene and region in mouse and human,LRMDA_Intron,"Intron (ENST00000611255.5/83938, intron 2 of 6)",14,22241022,Lrmda
74,cg11128281,0.257841317,4,150599078,LRBA,LRBA,987,conserved gene but different region in human and mouse,LRBA_threeUTR,3' UTR,3,86532137,Lrba
75,cg11664765,0.380126654,4,182601068,TENM3,TENM3,55714,conserved gene but different region in human and mouse,TENM3_Exon,"Exon (ENST00000511685.6/55714, exon 4 of 28)",8,48417100,Tenm3
76,cg25622623,0.111890056,17,61399779,LOC101927855,TBX2,101927855,mapped to different gene in human and mouse,LOC101927855_Promoter,Promoter (<=1kb),11,85832704,Tbx2
77,cg27495736,-0.159510583,17,2050006,MIR132,MIR132,406921,conserved gene but different region in human and mouse,MIR132_Exon,Promoter (<=1kb),11,75173666,Hic1
78,cg03708116,0.073436361,19,38390357,SPRED3,SPRED3,399473,"mapped in human, not mapped in mouse",SPRED3_Exon,"Exon (ENST00000586301.5/399473, exon 2 of 6)",7,29167866,Spred3
79,cg00900734,-0.001842275,10,127012247,DOCK1,DOCK1,1793,conserved gene but different region in human and mouse,DOCK1_Exon,"Exon (ENST00000623213.1/1793, exon 12 of 52)",7,134756829,Dock1
80,cg00535482,-0.151438496,2,161415802,TBR1,TBR1,10716,conserved gene but different region in human and mouse,TBR1_Promoter,Promoter (<=1kb),2,61804104,Tbr1
81,cg11666770,0.07125447,19,41926758,LOC100505585,ARHGEF1,100505585,mapped to different gene in human and mouse,LOC100505585_Intron,"Intron (ENST00000599589.5/9138, intron 19 of 20)",7,24943195,Erfl
82,cg15547854,-0.06273339,19,12702167,TNPO2,TNPO2,30000,conserved gene and region in mouse and human,TNPO2_Exon,"Exon (ENST00000425528.5/30000, exon 22 of 26)",8,85054701,Tnpo2
83,cg20265593,0.537666428,17,56594853,NOG,NOG,9241,conserved gene and region in mouse and human,NOG_Exon,"Exon (ENST00000332822.5/9241, exon 1 of 1)",11,89301390,Nog
84,cg17049911,0.098395831,17,78359071,SOCS3,SOCS3,9021,conserved gene and region in mouse and human,SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968206,Socs3
85,cg21084050,-0.058267433,5,177490561,PDLIM7,PDLIM7,9260,conserved gene but different region in human and mouse,PDLIM7_Exon,"Exon (ENST00000355572.6/9260, exon 8 of 8)",13,55507091,Pdlim7
86,cg12815291,0.031182491,8,143439468,ZC3H3,ZC3H3,23144,conserved gene and region in mouse and human,ZC3H3_Intron,"Intron (ENST00000262577.6/23144, intron 11 of 11)",15,75756305,Zc3h3
87,cg13496662,-0.084438948,19,44913112,APOC1,APOC1,341,"mapped in human, not mapped in mouse",APOC1_Exon,Promoter (1-2kb),,,
88,cg02041553,0.69422447,6,85614958,SYNCRIP,SYNCRIP,10492,mapped to different gene in human and mouse,SYNCRIP_Exon,"Exon (ENST00000369622.8/10492, exon 11 of 11)",9,88456340,Gm20537
89,cg05191959,-3.764436323,19,42177335,POU2F2,DEDD2,5452,conserved gene but different region in human and mouse,POU2F2_Intron,"Intron (ENST00000532176.2/5452, intron 1 of 5)",7,25179896,Pou2f2
90,cg22113843,0.152062484,10,74826606,KAT6B,KAT6B,23522,conserved gene and region in mouse and human,KAT6B_fiveUTR,Promoter (<=1kb),14,21500943,Kat6b
91,cg23754860,-0.225936545,10,86699297,LDB3,LDB3,11155,conserved gene but different region in human and mouse,LDB3_threeUTR,3' UTR,14,34561861,Ldb3
92,cg25210084,0.001086359,10,72354911,DNAJB12,DNAJB12,54788,"mapped in human, not mapped in mouse",DNAJB12_fiveUTR,Promoter (<=1kb),,,
93,cg12651099,0.253632619,1,110211650,KCNC4,KCNC4,3749,conserved gene and region in mouse and human,KCNC4_Exon,Promoter (<=1kb),3,107458739,Kcnc4
94,cg20076842,-0.107928798,3,28576252,ZCWPW2,LINC00693,152098,"mapped in human, not mapped in mouse",ZCWPW2_fiveUTR,5' UTR,9,117872712,Rbms3
95,cg01150494,0.575928418,12,119718845,CIT,CIT,11113,conserved gene but different region in human and mouse,CIT_Exon,"Exon (ENST00000261833.11/11113, exon 30 of 47)",5,115981665,Cit
96,cg15571405,-0.205716271,7,131111408,MKLN1,MKLN1,4289,mapped to different gene in human and mouse,MKLN1_Intron,"Intron (ENST00000421797.6/4289, intron 1 of 18)",6,31221750,Gm13835
97,cg12756474,-0.100706799,10,113120001,TCF7L2,TCF7L2,6934,conserved gene and region in mouse and human,TCF7L2_Intron,"Intron (ENST00000627217.3/6934, intron 5 of 13)",19,55888902,Tcf7l2
98,cg13057591,-0.012233343,1,48776789,BEND5,AGBL4,79656,conserved gene and region in mouse and human,BEND5_Exon,Promoter (<=1kb),4,111415216,Bend5
99,cg09710440,1.85468949,7,104328932,LHFPL3,LHFPL3,375612,"mapped in human, not mapped in mouse",LHFPL3_Exon,Promoter (<=1kb),,,
100,cg26917960,0.177633092,9,123422796,DENND1A,DENND1A,57706,conserved gene and region in mouse and human,DENND1A_Intron,"Intron (ENST00000473039.5/57706, intron 14 of 17)",2,37832371,Dennd1a
101,cg21390586,-0.47211837,14,85621699,FLRT2,FLRT2,23768,"mapped in human, not mapped in mouse",FLRT2_Exon,"Exon (ENST00000330753.6/23768, exon 2 of 2)",12,95779074,Flrt2
102,cg25140691,0.149110906,17,40351071,RARA,RARA,5914,"mapped in human, not mapped in mouse",RARA_Intron,"Intron (ENST00000254066.10/5914, intron 4 of 8)",11,98969327,Rara
103,cg00310215,0.022029465,16,51151435,SALL1,SALL1,6299,conserved gene but different region in human and mouse,SALL1_Promoter,Promoter (<=1kb),8,89042618,Sall1
104,cg15809488,-0.471813578,3,25428622,RARB,RARB,5915,"mapped in human, not mapped in mouse",RARB_fiveUTR,5' UTR,,,
105,cg01486146,0.125366903,10,100655554,PAX2,PAX2,5076,conserved gene and region in mouse and human,PAX2_Intergenic_upstream,Distal Intergenic,19,44671164,Pax2
106,cg05575054,0.094140661,10,114045209,ADRB1,ADRB1,153,conserved gene and region in mouse and human,ADRB1_Exon,"Exon (ENST00000369295.4/153, exon 1 of 1)",19,56723415,Adrb1
107,cg23087015,0.690743561,15,72319625,CELF6,CELF6,60677,"mapped in human, not mapped in mouse",CELF6_threeUTR,Promoter (<=1kb),9,59578626,Celf6
108,cg09461098,-0.331083197,16,24815270,TNRC6A,TNRC6A,27327,conserved gene but different region in human and mouse,TNRC6A_threeUTR,3' UTR,7,123186686,Tnrc6a
109,cg13909487,0.469459236,16,51151546,SALL1,SALL1,6299,conserved gene but different region in human and mouse,SALL1_Promoter,Promoter (<=1kb),8,89042729,Sall1
110,cg19591642,-0.293056301,16,24815260,TNRC6A,TNRC6A,27327,conserved gene but different region in human and mouse,TNRC6A_threeUTR,3' UTR,7,123186676,Tnrc6a
111,cg07005811,-0.054121743,17,28912612,PHF12,PHF12,57649,"mapped in human, not mapped in mouse",PHF12_Exon,"Exon (ENST00000332830.9/57649, exon 9 of 15)",11,78023688,Phf12
112,cg03663497,0.053377289,18,32975004,CCDC178,CCDC178,374864,conserved gene and region in mouse and human,CCDC178_Intron,"Intron (ENST00000581852.5/374864, intron 1 of 2)",18,21845348,Ccdc178
113,cg12053353,-0.02622204,18,39059095,MIR924HG,MIR924HG,647946,"mapped in human, not mapped in mouse",MIR924HG_Intergenic_downstream,Distal Intergenic,18,27398012,Gm7729
114,cg11025714,-0.027340452,1,158089480,KIRREL1,KIRREL1,55243,"mapped in human, not mapped in mouse",KIRREL1_Exon,"Exon (ENST00000368172.1/55243, exon 5 of 11)",3,87088506,Kirrel
115,cg13753818,-0.001021425,1,224431495,WDR26,WDR26,80232,conserved gene and region in mouse and human,WDR26_Exon,"Exon (ENST00000414423.8/80232, exon 3 of 14)",1,181209021,Wdr26
116,cg10644072,-0.076933725,21,40846625,DSCAM,DSCAM,1826,"mapped in human, not mapped in mouse",DSCAM_Exon,Promoter (<=1kb),16,97170240,Dscam
117,cg15746205,-0.190510715,22,29290369,EWSR1,EWSR1,2130,conserved gene but different region in human and mouse,EWSR1_Exon,"Exon (ENST00000483415.5/2130, exon 8 of 8)",11,5080731,Ewsr1
118,cg09227056,1.436995391,2,176075721,EVX2,EVX2,344191,conserved gene and region in mouse and human,EVX2_Intergenic_downstream,Distal Intergenic,2,74651253,Evx2
119,cg13233081,-0.003364372,2,176818200,LINC01117,LINC01116,102724224,mapped to different gene in human and mouse,LINC01117_Intron,"Intron (ENST00000652227.1/102724224, intron 5 of 5)",2,75314961,Gm18494
120,cg18141557,0.128817887,2,104855768,POU3F3,POU3F3,5455,conserved gene and region in mouse and human,POU3F3_Exon,"Exon (ENST00000361360.4/5455, exon 1 of 1)",1,42697400,Pou3f3
121,cg19711579,1.133288617,2,181680835,NEUROD1,NEUROD1,4760,mapped to different gene in human and mouse,NEUROD1_fiveUTR,Promoter (<=1kb),2,79456940,Cerkl
122,cg11084334,0.475738408,3,9552580,LHFPL4,LHFPL4,375323,"mapped in human, not mapped in mouse",LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113194124,Lhfpl4
123,cg12841266,0.999456681,3,9552409,LHFPL4,LHFPL4,375323,conserved gene and region in mouse and human,LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113193953,Lhfpl4
124,cg13702222,-0.19236484,3,152299451,MBNL1,MBNL1,4154,conserved gene and region in mouse and human,MBNL1_fiveUTR,5' UTR,3,60528802,Mbnl1
125,cg19981759,0.024873945,3,147409413,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365750,Zic1
126,cg23449696,0.164127402,3,147408155,LOC440982,ZIC1,440982,"mapped in human, not mapped in mouse",LOC440982_Intron,"Intron (ENST00000472523.1/440982, intron 1 of 1)",9,91367271,Zic4
127,cg24866418,0.540912434,3,9552398,LHFPL4,LHFPL4,375323,conserved gene and region in mouse and human,LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113193942,Lhfpl4
128,cg25731502,-0.075896887,3,152299732,MBNL1,MBNL1,4154,conserved gene and region in mouse and human,MBNL1_fiveUTR,5' UTR,3,60529080,Mbnl1
129,cg12428891,0.197037276,4,17884546,LCORL,LCORL,254251,conserved gene and region in mouse and human,LCORL_Exon,"Exon (ENST00000382224.5/254251, exon 7 of 7)",5,45734279,Lcorl
130,cg15741341,-0.011315598,4,65490521,EPHA5,EPHA5,2044,conserved gene and region in mouse and human,EPHA5_Exon,"Exon (ENST00000273854.7/2044, exon 5 of 18)",5,84233727,Epha5
131,cg12880090,-0.105456877,5,154811604,LARP1,LARP1,23367,"mapped in human, not mapped in mouse",LARP1_Exon,"Exon (ENST00000336314.9/23367, exon 18 of 19)",11,58057352,Larp1
132,cg18304538,0.275639808,5,77852294,TBCA,TBCA,6902,conserved gene and region in mouse and human,TBCA_Intron,"Intron (ENST00000522370.1/6902, intron 1 of 3)",13,94702400,Gm48316
133,cg20615601,-0.238719201,5,140115517,PURA,PURA,5813,conserved gene and region in mouse and human,PURA_threeUTR,3' UTR,18,36288498,Pura
134,cg24352905,1.73821818,5,77645452,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869014,Otp
135,cg27088374,-0.172613429,5,157816777,CLINT1,CLINT1,9685,"mapped in human, not mapped in mouse",CLINT1_Exon,"Exon (ENST00000523094.5/9685, exon 3 of 12)",11,45884384,Clint1
136,cg09817427,0.516067401,6,84764595,TBX18,TBX18,9096,"mapped in human, not mapped in mouse",TBX18_fiveUTR,Promoter (<=1kb),9,87731262,Tbx18
137,cg17215796,-0.010448122,6,72266042,RIMS1,RIMS1,22999,"mapped in human, not mapped in mouse",RIMS1_Exon,"Exon (ENST00000491071.6/22999, exon 20 of 28)",,,
138,cg27072792,-0.027400495,7,74453839,GTF2IRD1,GTF2IRD1,9569,"mapped in human, not mapped in mouse",GTF2IRD1_fiveUTR,Promoter (<=1kb),,,
139,cg27201382,0.811053405,11,27720483,BDNF,BDNF,627,conserved gene and region in mouse and human,BDNF_fiveUTR,Promoter (<=1kb),2,109676257,Bdnf
140,cg08563010,-0.317955569,12,23921603,SOX5,SOX5,6660,conserved gene and region in mouse and human,SOX5_Intron,"Intron (ENST00000451604.7/6660, intron 1 of 14)",6,144181147,Sox5
141,cg10466667,-0.247705629,12,53710077,CALCOCO1,CALCOCO1,57658,conserved gene but different region in human and mouse,CALCOCO1_threeUTR,3' UTR,15,102705885,Calcoco1
142,cg14903956,-0.083714102,12,13562916,GRIN2B,GRIN2B,2904,conserved gene and region in mouse and human,GRIN2B_Exon,"Exon (ENST00000609686.3/2904, exon 13 of 13)",6,135732231,Grin2b
143,cg18894136,-0.016046642,13,109667928,LINC00676,IRS2,101409253,mapped to different gene in human and mouse,LINC00676_Intron,"Intron (ENST00000650264.1/ENST00000650264.1, intron 1 of 3)",8,10924785,Gm45042
144,cg22069272,-0.291975844,13,66631276,PCDH9,PCDH9,5101,conserved gene but different region in human and mouse,PCDH9_threeUTR,3' UTR,14,93326745,Pcdh9
145,cg23415880,0.033510249,13,27792287,GSX1,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486,Gsx1
146,cg23985931,0.159317241,13,78594976,OBI1-AS1,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378,Pou4f1
147,cg12879445,0.357544055,14,93431016,UNC79,UNC79,57578,conserved gene but different region in human and mouse,UNC79_fiveUTR,Promoter (<=1kb),12,102949588,Unc79
148,cg11235379,0.303685223,2,161417813,TBR1,TBR1,10716,"mapped in human, not mapped in mouse",TBR1_Exon,"Exon (ENST00000389554.8/10716, exon 2 of 6)",2,61806111,Tbr1
149,cg15437942,0.122866361,9,124018172,LHX2,LHX2,9355,conserved gene and region in mouse and human,LHX2_Intron,"Intron (ENST00000373615.9/9355, intron 3 of 4)",2,38357359,Lhx2
150,cg16454989,-0.06611515,9,101737926,GRIN3A,GRIN3A,116443,"mapped in human, not mapped in mouse",GRIN3A_Exon,Promoter (<=1kb),,,
151,cg17856858,-0.12830834,9,89001452,S1PR3,S1PR3,1903,conserved gene and region in mouse and human,S1PR3_Exon,"Exon (ENST00000358157.3/1903, exon 2 of 2)",13,51419039,S1pr3
152,cg20766695,1.063112086,9,37026581,PAX5,PAX5,5079,conserved gene but different region in human and mouse,PAX5_Intron,"Intron (ENST00000358127.9/5079, intron 1 of 9)",4,44703419,Pax5
